state,name,url,source,official_nike_2026_match,http_status,canonical_url,platform,queue,note,catalog_products,nike_sb_products,target_products,coverage_status
NJ,Travel,https://www.travelskateshop.com/,community_shopify_2024,true,200,https://www.travelskateshop.com,shopify,verified_shopify_ready,,662,154,43,target_products_found
NJ,Underground,https://www.undergroundskateshop.com/,community_shopify_2024,true,200,https://www.undergroundskateshop.com,shopify,verified_shopify_ready,,497,59,25,target_products_found
NY,Labor,https://laborskateshop.com/,community_shopify_2024,true,200,https://laborskateshop.com,shopify,verified_shopify_ready,,650,31,10,target_products_found
OH,Blacklist,https://blacklistboardshop.com/,community_shopify_2024,true,200,https://blacklistboardshop.com,shopify,verified_shopify_ready,,1250,62,24,target_products_found
OH,Embassy,https://embassyboardshop.com/,community_shopify_2024,true,200,https://embassyboardshop.com,shopify,verified_shopify_ready,,520,29,8,target_products_found
PA,Holistic,https://holisticskateshop.com/,community_shopify_2024,true,200,https://holisticskateshop.com,shopify,verified_shopify_ready,,1250,81,28,target_products_found
PA,Nocturnal/Kinetic,https://kineticskateboarding.com/,community_shopify_2024,true,200,https://kineticskateboarding.com,shopify,active,,248,8,3,target_products_found
PR,The Room Surf and Skate Shop,https://theroompr.com/,user_list_2026,false,200,https://theroompr.com,shopify,verified_shopify_ready,,1250,39,16,target_products_found
TX,Deli,https://deliskatesupply.com/,community_shopify_2024,true,200,https://deliskatesupply.com,shopify,verified_shopify_ready,,1250,89,46,target_products_found
TX,Geometric,https://www.geometricskateshop.com/,community_shopify_2024,true,200,https://www.geometricskateshop.com,shopify,verified_shopify_ready,,982,110,61,target_products_found
TX,Magnolia,https://www.magnoliaskateshop.com/,community_shopify_2024,true,200,https://www.magnoliaskateshop.com,shopify,verified_shopify_ready,,414,86,27,target_products_found
TX,No-Comply,https://nocomplyatx.com/,community_shopify_2024,true,200,https://nocomplyatx.com,shopify,active,,1250,81,21,target_products_found
TX,Southside,https://southsideskateshop.com/,community_shopify_2024,true,200,https://southsideskateshop.com,shopify,verified_shopify_ready,,1250,74,40,target_products_found
UT,Time Machine,https://timemachineskateshop.com/,community_shopify_2024,true,200,https://timemachineskateshop.com,shopify,verified_shopify_ready,,1250,85,34,target_products_found
VA,Venue,https://venueskateboards.com/,community_shopify_2024,true,200,https://venueskateboards.com,shopify,verified_shopify_ready,,247,12,6,target_products_found
WA,35th North,https://35thnorth.com/,community_shopify_2024,true,200,https://35thnorth.com,shopify,verified_shopify_ready,,1036,71,25,target_products_found
WA,Apple Valley Emporium,https://applevalleyemporium.com/,community_shopify_2024,true,200,https://applevalleyemporium.com,shopify,verified_shopify_ready,,506,11,3,target_products_found
